,id,title
0,Ars8YPBaWLM,221331 Plotting Distributions Across Categories 2
1,DI5ybV5I6rg,221321 Sub Plots
2,JLoXFzEDcoY,221358 Adding and Deleting Columns
3,KUlpfByJ4nw,221348 Group by Clause
4,8a3FNlr9_Nw,221320 Components of a Plot
5,G6iLDoLtpgM,221331 Plotting Distributions Across Categories 1
6,aVicpWfvdns,1 221391  Defining Data Warehouse
7,O-dVFjNIo9w,221319 Data Visualisation Toolkit
8,A3q6ihThnIM,221347 Aggregate Functions
9,bzZDVLd36XQ,221328 Bivariate Distributions   Plotting Pairwise Relationships
10,brNaaAoMx08,221316 Understanding Basic Chart Types II
11,sBtlDiBl5Nc,221337 An introduction to RDBMS and SQL 1
12,LR_N8OKuoCM,221315 Understanding Basic Chart Types I
13,UAW8E8q7474,221327 Bivariate Distributions
14,lXXznd4d2M0,221314 Visualisations   The World of Imagery
15,exi2DAW3xDU,221326 Univariate Distributions   Rug Plots
16,UD1Eo3tal-0,221313 Data Visualisation Examples 3
17,gU__BW8GaEY,221325 Univariate Distributions
18,2HYrVQpMk3c,221313 Data Visualisation Examples 2
19,C89FJrRqL6A,221313 Data Visualisation Examples 1
20,0bUg7yeWk-0,221269 Lambda function & Pivot tables 3
21,gc6HbHl6ez0,221269 Lambda function & Pivot tables 2
22,9vBiQUaKqTA,221269 Lambda function & Pivot tables 1
23,27Yu5M8859I,221246 Control Structures and Functions Func 3
24,MKl1VQuOOEc,221268 Grouping and Summarizing Dataframes 2
25,vJLZjeFm0n4,221276 Cleaning Datasets 4
26,XAUEYfWQJKI,221246 Control Structures and Functions Func 2
27,Y2IUO52_0HE,221268 Grouping and Summarizing Dataframes 1
28,6i9Bry2Pf74,221267 Merge and Append 2
29,pvIW4qD2eKk,221262 Basic Linear Algebra Operations
30,uWYzLzTU1MQ,221261 Operations on Arrays
31,KZPc-f8BFUw,221276 Cleaning Datasets 3
32,NLG4lsZVmbI,221246 Control Structures and Functions Func 1
33,VoSqPqq7G0o,221267 Merge and Append 1
34,z2qMfJ3Cy3E,221260 Basic Array Operations
35,H2qemIXC_xA,221266 Indexing and Selecting Data 3
36,aTxc_6XptDU,Vector dot product and vector length   Vectors and spaces   Linear Algebra
37,ypggaRDFowU,221276 Cleaning Datasets 2
38,IyEqXvqe2J4,221257 Computation Times in NumPy and Standard Python Lists
39,s9a3AmwPAMQ,"The determinant   Essence of linear algebra, chapter 6 Imortant!!!"
40,u_eqk7r74FQ,221245 Control Structures and FunctionsComprehensions
41,x4_F8J4aksc,"Liner combinations ,Vectors, what even are they chapter 1"
42,UfHbQGEMbxw,221276 Cleaning Datasets 1
43,PxtSNGB8rX4,221236 Python Basic VII Sets
44,ANQZvTSg_74,221245 Control Structures and FunctionsComprehensions 2
45,MEF7ztfCAtw,"Linear transformations and matrices   Essence of linear algebra, chapter 3 !!!!!!"
46,NFo6YgwH9bc,221266 Indexing and Selecting Data 2
47,_XihkBglJ24,221256 Multidimensional Arrays
48,IftUFd0nA9A,221275 Reading Data From PDF Files
49,XYAnOIuRVyw,"Linear combinations, span, and basis vectors   Essence of linear algebra, chapter 2"
0,gTNndc2REwk,"Inverse matrices, column space and null space   Essence of linear algebra, chapter 7"
1,I5oXdGKeM0E,Thinking about multivariable functions   contour plots
2,egh_PWSYdLI,Idea behind inverting a 2x2 matrix   Matrices   Precalculus   Khan Academy
3,9Cpiyga8fTk,"221255 Subset, Slice, Index and Iterate through Arrays"
4,ehivzN8IEAQ,The Jacobian matrix   YouTube
5,cmwWJhmNsLU,221244 Control Structures and FunctionsLoops
6,6LNwHHxdMO8,The Hessian matrix   YouTube
7,wb7neqOgs6Y,The graphical relationship between a function & its derivative part 2
8,4df1NiQUA-0,221236 Python Basic V List2
9,nq2p9UQNv2o,The graphical relationship between a function & its derivative part 1   Khan Academy   YouTube
10,wDIxT1e0kDQ,"Partial derivatives, introduction   YouTube"
11,OWi9BQEVXFk,221266 Indexing and Selecting Data 1
12,RybFEfVapmI,221244 Control Structures and FunctionsLoops 2
13,7aS7xmJSk1g,Multivariable chain rule   YouTube
14,Td3FSwwasOs,"Dot products and duality   Essence of linear algebra, chapter 9   YouTube"
15,1zLiEntjLbw,221274 Getting Data From APIs
16,8sMpyzoesSw,Critical points introduction   AP Calculus AB   Khan Academy   YouTube
17,X-Tdqf6Gh2A,221254 Structure and Content of Arrays
18,KvHm5hg1lNA,Chain rule   Derivative rules   AP Calculus AB   Khan Academy   YouTube
19,bcYxDDjGvYI,Calculus  Derivatives 2   Taking derivatives   Differential Calculus   Khan Academy   YouTube
20,w4IZFbCuoEs,221265 Pandas Basics 3
21,3QDkh_uheLg,Analyzing a function with its derivative   AP Calculus AB   Khan Academy   YouTube
22,6KhquXPvy4U,221236 Python Basic IV List
23,b4gl9S9c97I,221273 Reading Data From Websites
24,eBWZUnjUktM,221253 Creating NumPy Arrays
25,cXEcqDOfidg,"221243 Control Structures and FunctionsIf ,Elif ,Else"
26,B8sgIoKAp0I,221236 Python Basic III Array
27,ay0_ZJsamLA,221236 Python Basic IIStr
28,T962f8493dc,221265 Pandas Basics 2
29,GmtSwaxroQg,221252 NumPy Basics 3
30,ucgJ44HnhVY,221272 Reading Delimited and Relational Databases
31,8U7CpEMLVzc,221239 Python Basic VI Dict
32,ODmj2q6xwRA,221236 Python Basic I
33,INojwGCTCBQ,221252 NumPy Basics 2
34,Zlr2601d2JY,221265 Pandas Basics 1
35,umrOlLf953o,221235 Introduction to Jupyter Notebook II
36,k334a7JDKkU,221235 Introduction to Jupyter Notebook I
37,UCMvhggV5g4,221252 NumPy Basics 1
38,T8qYDlg7HxQ,221239 Python Basic V Dict
39,AHL1UgDPwX4,"111247 Control Structures and FunctionsMap, Filter, and Reduce 3"
40,3Q-CPofdtAY,221238 Python Basic VI Touples
41,0dVAhQNAICs,"111247 Control Structures and FunctionsMap, Filter, and Reduce 2"
42,KHBJeAhUnU0,"111247 Control Structures and FunctionsMap, Filter, and Reduce 1"
